Номер примера;Количество комнат;Общая площадь;Жилая площадь;Тип дома;Этажность квартиры;Этажность дома;Площадь кухни;Индекс места;Минут ходьбы;Телефон;Балкон / Лоджия;Цена
926;2;42;27;0;2;5;7;104;25;1;2;35000
927;2;48;29;2;4;5;9;119;10;0;2;30000
928;3;97;71;0;5;5;8;95;3;0;0;85000
929;2;43;29;0;2;5;6;30;10;0;2;55000
930;1;50;23;0;7;14;9;83;10;1;1;115000
931;2;36;21;1;2;5;6;103;12;1;2;41000
932;3;60;42;2;1;14;7;89;4;1;0;63000
933;2;45;30;1;8;12;8;61;20;1;1;62000
934;3;53;38;0;6;9;5;69;10;1;2;60000
935;2;41;28;0;1;5;6;119;35;1;0;24000
936;2;42;30;1;5;5;6;106;25;1;3;33000
937;3;61;43;1;2;9;6;54;5;1;1;77000
938;2;47;31;1;2;9;7;75;10;1;0;55000
939;2;53;32;1;6;22;10;121;15;1;2;60000
940;3;71;50;0;7;8;8;19;15;1;2;107000
941;3;79;55;0;2;4;8;10;10;1;0;131000
942;3;83;53;0;5;5;9;72;25;1;2;80000
943;1;31;19;0;1;5;7;103;5;1;0;30000
944;2;52;30;1;4;12;9;92;10;1;2;61000
945;1;18;13;0;5;5;4;102;3;1;0;22000
946;1;34;20;2;4;9;7;88;7;1;1;38000
947;3;65;44;1;3;9;6;121;35;1;2;56000
948;3;58;43;1;9;9;6;119;10;1;2;63000
949;2;46;32;1;1;12;7;109;25;1;1;45000
950;1;38;20;1;10;12;9;53;20;1;1;48000
951;2;44;30;1;3;5;6;40;5;1;1;49000
952;2;52;34;1;10;12;9;113;25;1;2;50000
953;1;34;21;1;7;16;8;113;10;1;2;36000
954;2;61;38;0;2;5;8;104;10;1;0;60000
955;2;45;30;1;8;12;8;61;25;1;1;62000
956;1;33;18;1;5;9;7;117;35;1;1;40000
957;3;70;48;0;7;8;9;30;5;1;2;125000
958;3;85;59;0;2;10;9;43;10;1;2;120000
959;3;75;42;0;6;8;9;16;5;1;2;120000
960;2;45;28;1;3;9;7;104;25;1;2;55000
961;4;80;60;1;1;14;10;75;15;1;0;93000
962;3;75;45;2;1;17;12;80;7;1;2;115000
963;1;31;18;1;4;5;6;112;1;0;2;33000
964;1;34;19;1;3;9;7;54;7;1;0;43000
965;1;34;19;1;4;9;7;54;7;1;0;43000
966;3;63;48;0;3;12;8;129;5;0;3;33000
967;1;28;15;1;12;12;8;77;7;1;1;33000
968;4;95;65;0;10;10;9;99;7;1;2;125000
969;1;35;20;1;12;16;10;97;15;0;1;44000
970;2;45;31;1;1;5;6;115;25;1;0;39000
971;3;58;39;2;8;9;6;111;5;0;2;50000
972;2;35;21;0;5;9;6;29;15;1;2;50000
973;3;63;40;1;8;9;9;67;15;1;1;83000
974;1;35;21;1;3;9;7;42;7;1;1;43000
975;1;32;22;1;6;9;7;104;15;1;2;36500
976;4;77;55;0;6;7;7;43;15;1;2;105000
977;3;75;46;1;5;17;10;91;25;0;3;89500
978;3;72;46;1;3;17;11;91;7;1;1;90000
979;2;52;31;1;5;16;9;91;15;0;1;60000
980;1;40;20;1;19;22;10;91;25;0;2;47000
981;2;58;37;0;8;9;10;29;15;1;2;100000
982;4;84;61;0;3;5;9;87;20;1;2;88000
983;2;42;28;0;3;5;6;91;5;1;2;50000
984;3;75;44;1;11;17;11;63;35;1;3;90000
985;1;33;18;1;2;9;6;121;35;1;0;31000
986;3;58;38;0;9;9;6;21;2;0;2;85000
987;3;58;44;1;2;5;6;72;25;1;2;62000
988;2;45;29;1;3;9;6;42;5;1;0;60000
989;3;75;46;1;16;17;9;121;35;1;1;76000
990;2;41;27;0;5;5;6;49;15;1;2;41000
991;3;89;57;0;5;8;12;68;5;1;2;138000
992;2;51;31;0;2;6;8;29;5;1;0;78000
993;1;39;20;1;1;14;10;121;50;1;0;35000
994;3;71;43;1;6;23;10;8;4;1;1;116000
995;1;35;22;1;7;12;8;92;12;1;0;42000
996;3;76;46;1;6;17;11;91;35;1;3;92000
997;1;40;20;1;10;17;10;97;25;1;2;41000
998;1;33;18;0;6;7;9;30;5;1;2;73000
999;3;81;53;0;6;7;11;51;7;1;2;130000
1000;2;41;26;0;1;5;7;79;15;1;0;38500
1001;1;33;17;1;2;5;9;69;13;1;0;40000
1002;2;57;32;1;4;17;9;91;35;0;2;66000
1003;2;54;32;1;14;14;9;57;20;1;2;70000
1004;2;44;28;1;3;9;6;74;4;1;0;55000
1005;1;33;18;0;4;5;7;69;5;1;2;40000
1006;3;54;36;0;8;8;6;36;5;1;2;80000
1007;3;80;55;0;5;8;10;56;3;1;2;115000
1008;2;63;34;0;2;8;10;5;5;1;0;150000
1009;3;55;40;0;1;5;6;60;5;1;0;60000
1010;3;82;57;0;4;5;9;30;10;1;2;110000
1011;2;64;42;0;4;6;7;60;20;1;2;84000
1012;2;60;30;0;5;8;11;16;5;1;0;137000
1013;2;41;27;1;5;5;6;83;15;1;2;46000
1014;2;53;33;1;4;14;10;55;1;1;0;58000
1015;1;31;19;2;4;5;6;37;15;1;2;40000
1016;1;42;18;0;3;14;10;0;5;1;0;125000
1017;2;54;32;1;4;16;10;63;7;1;2;82500
1018;2;52;32;1;2;12;10;88;5;1;0;58000
1019;3;74;45;1;7;17;10;92;20;1;2;83000
1020;2;54;32;1;10;16;9;45;10;1;2;75000
1021;1;38;19;1;6;16;9;92;7;1;1;46000
1022;3;64;46;1;11;12;7;104;5;1;3;70000
1023;3;66;46;0;1;8;8;102;10;1;0;70000
1024;2;54;34;0;8;9;7;38;30;1;2;81000
1025;1;40;21;1;4;12;9;64;15;1;1;52830
1026;2;53;34;1;7;12;10;61;15;1;2;75620
1027;2;47;26;0;4;5;11;12;10;1;2;85250
1028;1;33;18;1;5;9;7;102;15;1;0;42000
1029;2;59;34;1;16;17;11;104;2;1;1;80000
1030;1;30;19;0;2;5;6;121;3;1;2;36000
1031;2;55;32;1;3;17;9;91;35;1;2;62000
1032;3;77;50;0;3;8;10;19;15;1;2;134000
1033;3;63;39;0;4;5;9;31;10;1;2;77000
1034;1;35;20;1;5;14;10;109;10;1;1;42000
1035;2;45;28;1;4;9;6;121;15;1;0;44000
1036;1;32;21;1;8;12;7;86;5;1;2;40000
1037;3;83;56;0;2;8;8;43;10;1;0;127000
1038;3;45;33;0;2;5;6;79;15;1;0;52000
1039;3;105;69;0;3;5;13;85;25;1;2;135000
